Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,0.80589698069956,..,..
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,16345202562.5485,15325233810.1388,15740683549.2312
Afghanistan,AFG,GDP (constant LCU),NY.GDP.MKTP.KN,1101444000000,1032712000000,1060707653200
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,1251172000000,1283441000000,1357275145600
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,14259995441.0759,14497243872.1337,17233051620.1117
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,113.593791422896,124.278695318734,127.95939969937
Afghanistan,AFG,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,113.593791422896,124.278695318734,127.95939969937
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-20.7388393676343,-6.24017199240269,2.71088679128353
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,408.625855217403,377.665627080705,379.707497269884
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,27535.8163810913,25449.5187418113,25587.1129784104
Afghanistan,AFG,GDP per capita (current LCU),NY.GDP.PCAP.CN,31278.9778265284,31628.3298572197,32741.1161675736
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,356.496214115892,357.261152798144,415.707417059086
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-22.5844818732987,-7.57666891152213,0.540655554216826
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2144.16657002819,1981.71016810561,1992.42439419795
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2144.16657002819,2122.99581512665,2211.28063454007
Afghanistan,AFG,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,10611.84029172,10863.2517874778,10830.8386166565
Afghanistan,AFG,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,..,..,..
Afghanistan,AFG,GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,..,..,..
Afghanistan,AFG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,85767546197.7544,80415503801.351,82595477072.046
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,85767546197.7544,86148711748.6854,91668110208.7869
Afghanistan,AFG,GDP: linked series (current LCU),NY.GDP.MKTP.CN.AD,1251172000000,1283441000000,1357275145600
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2.83899625081041,9.40623933931322,2.9616535410169
Afghanistan,AFG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,2.83899625081041,9.40623933931322,2.9616535410169
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..
Afghanistan,AFG,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,..,..,..
Afghanistan,AFG,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..
Afghanistan,AFG,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,..,..,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,51.4117163747271,72.8854696086536,67.2733432760503
Afghanistan,AFG,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,..,..,..
Afghanistan,AFG,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,9.781,..,..
Afghanistan,AFG,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,20.211,..,..
