Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023],Series Name_social,Series Code_social,2021 [YR2021]_social,2022 [YR2022]_social,2023 [YR2023]_social,Series Name_env,Series Code_env,2021 [YR2021]_env,2022 [YR2022]_env,2023 [YR2023]_env,Series Name_stats,Series Code_stats,2021 [YR2021]_stats,2022 [YR2022]_stats,2023 [YR2023]_stats,Country_ID,Name
Aruba,ABW,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,3844492519,4171963244,4349844051,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.626,74.992,..,Forest area (% of land area),AG.LND.FRST.ZS,2.333333333,2.333333333,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,ABW,Aruba
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.626,74.992,..,Forest area (% of land area),AG.LND.FRST.ZS,2.333333333,2.333333333,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,ABW,Aruba
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,147.0155761,172.8841711,169.7982829,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.626,74.992,..,Forest area (% of land area),AG.LND.FRST.ZS,2.333333333,2.333333333,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,ABW,Aruba
Aruba,ABW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,22.83170585,21.20776441,19.56247345,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.626,74.992,..,Forest area (% of land area),AG.LND.FRST.ZS,2.333333333,2.333333333,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,ABW,Aruba
Africa Eastern and Southern,AFE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2.8055E+12,2.90885E+12,2.97789E+12,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.44909279,62.88846323,..,Forest area (% of land area),AG.LND.FRST.ZS,29.95519379,29.7372051,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,AFE,Africa Eastern and Southern
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.240977656,10.77375122,7.126974821,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.44909279,62.88846323,..,Forest area (% of land area),AG.LND.FRST.ZS,29.95519379,29.7372051,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,AFE,Africa Eastern and Southern
Africa Eastern and Southern,AFE,Trade (% of GDP),NE.TRD.GNFS.ZS,55.5623958,58.53616277,56.87239246,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.44909279,62.88846323,..,Forest area (% of land area),AG.LND.FRST.ZS,29.95519379,29.7372051,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,AFE,Africa Eastern and Southern
Africa Eastern and Southern,AFE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,14.65125488,14.42979858,13.92631584,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.44909279,62.88846323,..,Forest area (% of land area),AG.LND.FRST.ZS,29.95519379,29.7372051,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,AFE,Africa Eastern and Southern
Afghanistan,AFG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,85767546198,80415503801,82595477072,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.982,62.879,..,Forest area (% of land area),AG.LND.FRST.ZS,1.852781994,1.852781994,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,AFG,Afghanistan
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.982,62.879,..,Forest area (% of land area),AG.LND.FRST.ZS,1.852781994,1.852781994,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,AFG,Afghanistan
