Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023],Series Name_social,Series Code_social,2021 [YR2021]_social,2022 [YR2022]_social,Series Name_env,Series Code_env,2021 [YR2021]_env,2022 [YR2022]_env,Series Name_stats,Series Code_stats,2021 [YR2021]_stats,2022 [YR2022]_stats,2023 [YR2023]_stats,Country_ID,Name
Aruba,ABW,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,-0.16274586713191352,-0.1634242801289754,-0.16908093845626374,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,0.4304424017781607,0.386016549222548,Forest area (% of land area),AG.LND.FRST.ZS,-1.2779588470012058,-1.3017016195441296,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.20840180069565847,-0.21532485108702068,-0.21985602230581167,ABW,Aruba
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,0.4304424017781607,0.386016549222548,Forest area (% of land area),AG.LND.FRST.ZS,-1.2779588470012058,-1.3017016195441296,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.20840180069565847,-0.21532485108702068,-0.21985602230581167,ABW,Aruba
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,-0.1631503210394836,-0.16384724159574318,-0.16949270357984964,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,0.4304424017781607,0.386016549222548,Forest area (% of land area),AG.LND.FRST.ZS,-1.2779588470012058,-1.3017016195441296,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.20840180069565847,-0.21532485108702068,-0.21985602230581167,ABW,Aruba
Aruba,ABW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,-0.16315032105254818,-0.1638472416111204,-0.16949270359407126,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,0.4304424017781607,0.386016549222548,Forest area (% of land area),AG.LND.FRST.ZS,-1.2779588470012058,-1.3017016195441296,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,-0.20840180069565847,-0.21532485108702068,-0.21985602230581167,ABW,Aruba
Africa Eastern and Southern,AFE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,0.13199799188139077,0.13105744513372683,0.11240045794357881,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.208332386140335,-1.231604357366927,Forest area (% of land area),AG.LND.FRST.ZS,-0.06937575228359227,-0.0963738568973031,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFE,Africa Eastern and Southern
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.16315032105418836,-0.16384724161217826,-0.16949270359524843,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.208332386140335,-1.231604357366927,Forest area (% of land area),AG.LND.FRST.ZS,-0.06937575228359227,-0.0963738568973031,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFE,Africa Eastern and Southern
Africa Eastern and Southern,AFE,Trade (% of GDP),NE.TRD.GNFS.ZS,-0.1631503210491048,-0.163847241607336,-0.16949270359053942,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.208332386140335,-1.231604357366927,Forest area (% of land area),AG.LND.FRST.ZS,-0.06937575228359227,-0.0963738568973031,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFE,Africa Eastern and Southern
Africa Eastern and Southern,AFE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,-0.16315032105340876,-0.16384724161180758,-0.1694927035946048,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.208332386140335,-1.231604357366927,Forest area (% of land area),AG.LND.FRST.ZS,-0.06937575228359227,-0.0963738568973031,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFE,Africa Eastern and Southern
Afghanistan,AFG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,-0.15412727825864667,-0.15569456651553915,-0.1616740467077608,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.2711939875855605,-1.2328691049347462,Forest area (% of land area),AG.LND.FRST.ZS,-1.298985172341001,-1.3228381171601822,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFG,Afghanistan
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.2711939875855605,-1.2328691049347462,Forest area (% of land area),AG.LND.FRST.ZS,-1.298985172341001,-1.3228381171601822,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFG,Afghanistan
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,-0.16315032104954147,-0.16384724160588124,-0.16949270358955484,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.2711939875855605,-1.2328691049347462,Forest area (% of land area),AG.LND.FRST.ZS,-1.298985172341001,-1.3228381171601822,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFG,Afghanistan
Afghanistan,AFG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,-0.16315032105271327,-0.16384724161105577,-0.16949270359391716,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.2711939875855605,-1.2328691049347462,Forest area (% of land area),AG.LND.FRST.ZS,-1.298985172341001,-1.3228381171601822,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFG,Afghanistan
Africa Western and Central,AFW,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,0.07706179600463872,0.07655353168268837,0.06267164507555932,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.9488777034082165,-1.939856045617641,Forest area (% of land area),AG.LND.FRST.ZS,-0.5166857753832299,-0.5401584621716827,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFW,Africa Western and Central
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.1631503210545561,-0.16384724161246458,-0.1694927035954542,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,-1.9488777034082165,-1.939856045617641,Forest area (% of land area),AG.LND.FRST.ZS,-0.5166857753832299,-0.5401584621716827,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,AFW,Africa Western and Central
