Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,85767546197.7544,80415503801.351,82595477072.046
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,51.4117163747271,72.8854696086536,67.2733432760503
Afghanistan,AFG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,21.2623843883974,21.8454919236646,21.1902114344589
Africa Eastern and Southern,AFE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2805504558104.62,2908845901221.61,2977894568548.49
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.24097765588442,10.7737512242899,7.12697482131851
Africa Eastern and Southern,AFE,Trade (% of GDP),NE.TRD.GNFS.ZS,55.5623957956905,58.5361627735347,56.8723924609556
Africa Eastern and Southern,AFE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,14.6512548799076,14.4297985785659,13.9263158422847
Africa Western and Central,AFW,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2283307241252.37,2371235316819.04,2452556275837.2
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.74570045027355,7.94925143524016,4.95305034506872
Africa Western and Central,AFW,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..
Africa Western and Central,AFW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..
Albania,ALB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,45304758103.053,47491477568.2551,49361039069.3297
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.04147163139549,6.72520271530048,4.75976421930107
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,75.5903160937554,84.6980639208685,82.4936845982876
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,12.8352244543565,12.0411725712096,12.0464697906067
Algeria,DZA,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,648895630480.26,672255873177.55,699818363977.829
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.22606307415477,9.26551551551553,9.32217375928322
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,46.8370592599607,51.2023757404409,43.682914195572
Algeria,DZA,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,18.4286289389909,16.5359089102657,17.9279465789317
American Samoa,ASM,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,..,..,..
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,136.8,124.684270952928,..
American Samoa,ASM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..
Andorra,AND,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,4649508748.84024,5094216232.49801,5225828100.9848
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..
Andorra,AND,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..
Angola,AGO,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,255820605533.992,263609643364.336,266249138676.023
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,25.7542948841891,21.3552901320822,13.6441017767715
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,74.4644985871074,69.6910705054094,67.0416886089289
Angola,AGO,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,7.68345467585382,8.09626587411972,5.17486195152652
Antigua and Barbuda,ATG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2376444043.97534,2602595861.44867,2703108430.80408
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.06299638545334,7.53107834634288,5.06713865364213
Antigua and Barbuda,ATG,Trade (% of GDP),NE.TRD.GNFS.ZS,101.122883462968,117.630005076464,..
Antigua and Barbuda,ATG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..
Arab World,ARB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,7218509069336.16,7633304894125.06,7720367584623.25
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.96581008346283,5.08754200853911,3.64216403030709
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,81.5619817577191,88.9633218366201,90.5657752962819
Arab World,ARB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,18.0169542798603,16.0793210313289,17.7271884302375
Argentina,ARG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,1191725417699.43,1254527913254.77,1234317448237.57
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,33.078689567466,31.5477080051071,26.6405121334437
Argentina,ARG,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,15.9158179423023,15.8356571842994,16.3874689950096
Armenia,ARM,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,47164867556.762,53107640868.8087,57515575060.7049
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.18483629443371,8.64091108973855,1.98041877615554
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,79.6698888228399,101.41077826094,119.714642963872
Armenia,ARM,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,13.649850256969,11.6764818949578,14.146579323878
Aruba,ABW,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,3844492519.39592,4171963243.75766,4349844050.54879
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,147.015576101595,172.884171078304,169.798282934344
Aruba,ABW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,22.8317058479257,21.2077644140089,19.5624734468951
Australia,AUS,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,1493492442755.91,1556852150387.93,1610438879971.22
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.86391042204994,6.59409671341846,5.5970149253731
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,40.3024802691697,45.8217702307271,49.2251840594381
Australia,AUS,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,22.4227187171293,22.0784275525044,21.3138550807727
Austria,AUT,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,563428660194.172,593165828839.519,587501318401.092
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.7666666666667,8.5468699318845,7.81413417002832
Austria,AUT,Trade (% of GDP),NE.TRD.GNFS.ZS,111.032268737901,124.38345148483,116.813919411879
Austria,AUT,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,21.7317656146414,20.5524888096447,20.4654125213615
Azerbaijan,AZE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,203884098954.124,213496831273.905,215896480846.588
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.65029912708779,13.8522590144267,8.78543049849081
Azerbaijan,AZE,Trade (% of GDP),NE.TRD.GNFS.ZS,76.286865687015,86.9822732541779,83.6193503542524
Azerbaijan,AZE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,13.867442319577,11.6421479898517,14.0129506404185
"Bahamas, The",BHS,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,11629771045.9822,12883694495.3073,13223702405.4274
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.90491262928478,5.60540633583044,3.05291578969743
"Bahamas, The",BHS,Trade (% of GDP),NE.TRD.GNFS.ZS,72.9515608370203,83.1741573033708,82.7048854482687
"Bahamas, The",BHS,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,14.787710332574,13.3034925854877,12.9581197475329
Bahrain,BHR,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,82671890844.1512,87616746984.0241,90228420640.4411
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.60631938514085,3.62574104304482,0.0746206782192256
Bahrain,BHR,Trade (% of GDP),NE.TRD.GNFS.ZS,153.799316485108,166.345617522503,157.831886473705
Bahrain,BHR,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,15.2083365894066,13.6270690862434,14.6493455223153
Bangladesh,BGD,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,1247561124482.2,1336135828193.28,1413299173688.33
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.54565430773473,7.69695437176898,9.8835030377921
Bangladesh,BGD,Trade (% of GDP),NE.TRD.GNFS.ZS,27.7240047036631,33.7799672705735,30.9829714104596
Bangladesh,BGD,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,5.88274868783073,5.69899955596024,5.66516962733289
Barbados,BRB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,4425161020.06509,5214293923.41486,5427757736.63078
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,9.79207077126447
Barbados,BRB,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..
Barbados,BRB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..
Belarus,BLR,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,256855349956.288,244890010824.575,254407029633.079
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.46028389623103,15.209675274081,5.0005990309131
Belarus,BLR,Trade (% of GDP),NE.TRD.GNFS.ZS,136.014450556595,120.024207576094,132.998797317727
Belarus,BLR,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,16.8160154682014,17.2288777285138,18.0560138047009
Belgium,BEL,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,702256972634.048,731986542867.857,741148823051.352
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.44024851144084,9.597511728725,4.04901077613941
Belgium,BEL,Trade (% of GDP),NE.TRD.GNFS.ZS,177.390305424732,191.996289195725,168.927603708475
Belgium,BEL,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,23.840764613164,23.4930358538363,23.7719441521893
Belize,BLZ,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,4616637500.26857,5062280489.76259,5120446944.09888
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.23563659237071,6.27689319447544,4.38984017487675
Belize,BLZ,Trade (% of GDP),NE.TRD.GNFS.ZS,99.3162710954122,108.52917413145,106.531755710256
Belize,BLZ,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,16.6904215983971,15.8077774264938,15.7460162707664
Benin,BEN,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,46467947984.7692,49373702578.7732,52510325825.4315
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.73353962694036,1.35077863583527,2.73102465280233
Benin,BEN,Trade (% of GDP),NE.TRD.GNFS.ZS,48.0548608324409,50.93352007034,51.3504650113905
Benin,BEN,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,10.075964534303,10.0578392538627,9.50419732307074
Bermuda,BMU,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,5965474014.7205,6349121642.12384,6343101176.8611
Bermuda,BMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..
Bermuda,BMU,Trade (% of GDP),NE.TRD.GNFS.ZS,72.2026726568347,75.5111919039139,77.544001866932
Bermuda,BMU,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,12.3314733455503,11.8919440264283,11.9802989547637
Bhutan,BTN,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,10436528610.0243,10980675415.8553,..
Bhutan,BTN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.3468144053353,5.63916671396365,4.22934419929261
Bhutan,BTN,Trade (% of GDP),NE.TRD.GNFS.ZS,77.5824483207755,85.5712165497647,..
Bhutan,BTN,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,22.6722251466473,21.017331333596,..
Bolivia,BOL,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,112858166795.217,116927471575.734,120531135606.727
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.737383721452275,1.74632872945969,2.57688800489192
Bolivia,BOL,Trade (% of GDP),NE.TRD.GNFS.ZS,59.0213965631402,67.755898784076,56.4582389632269
Bolivia,BOL,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,19.3369845659035,19.0899160383982,19.2863642712835
Bosnia and Herzegovina,BIH,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,59285538511.2803,61791426180.9793,63157711526.934
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.98163900587622,14.0208440826771,6.1059011284828
Bosnia and Herzegovina,BIH,Trade (% of GDP),NE.TRD.GNFS.ZS,96.4859085777747,110.20596766123,99.8983684696212
Bosnia and Herzegovina,BIH,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,19.4015205743907,18.661917599169,19.1801108509276
Botswana,BWA,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,43133140608.7628,45499436856.6038,46743299628.899
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.24097765588442,11.665567478802,5.0676154934383
Botswana,BWA,Trade (% of GDP),NE.TRD.GNFS.ZS,88.7551314233315,85.6083027804928,68.8572126290116
Botswana,BWA,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,31.529241052792,27.887294990784,28.943152194439
Brazil,BRA,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,3787769507879.98,3902034936764.09,4015524861483.22
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.30165975585673,9.28010608956873,4.59356282283204
Brazil,BRA,Trade (% of GDP),NE.TRD.GNFS.ZS,37.6563307568833,38.8160659763397,33.8539465938547
Brazil,BRA,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,18.5475883591271,18.4022127200534,18.2188134962514
British Virgin Islands,VGB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,..,..,..
British Virgin Islands,VGB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..
British Virgin Islands,VGB,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..
British Virgin Islands,VGB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..
Brunei Darussalam,BRN,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,35346624879.392,34771064638.0763,35260317274.2657
