Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,1.85278199408184,1.85278199408184,..
Africa Eastern and Southern,AFE,Forest area (% of land area),AG.LND.FRST.ZS,29.9551937873237,29.7372051021705,..
Africa Western and Central,AFW,Forest area (% of land area),AG.LND.FRST.ZS,19.7320365324224,19.6474877713602,..
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.7919708029197,28.7919708029197,..
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,0.822227647758509,0.826332963995665,..
American Samoa,ASM,Forest area (% of land area),AG.LND.FRST.ZS,85.5,85.35,..
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.0425531914894,34.0425531914894,..
Angola,AGO,Forest area (% of land area),AG.LND.FRST.ZS,52.9817223871019,52.5364972326943,..
Antigua and Barbuda,ATG,Forest area (% of land area),AG.LND.FRST.ZS,18.3029545454545,18.1615909090909,..
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS,2.79112084453801,2.77355392704447,..
Argentina,ARG,Forest area (% of land area),AG.LND.FRST.ZS,10.4007639520735,10.3611377978507,..
Armenia,ARM,Forest area (% of land area),AG.LND.FRST.ZS,11.5300316122234,11.522655426765,..
Aruba,ABW,Forest area (% of land area),AG.LND.FRST.ZS,2.33333333333333,2.33333333333333,..
Australia,AUS,Forest area (% of land area),AG.LND.FRST.ZS,17.4213145571644,17.4213145571644,..
Austria,AUT,Forest area (% of land area),AG.LND.FRST.ZS,47.1720794958798,47.206131846825,..
Azerbaijan,AZE,Forest area (% of land area),AG.LND.FRST.ZS,13.8329909255898,13.9724815486993,..
"Bahamas, The",BHS,Forest area (% of land area),AG.LND.FRST.ZS,50.9350649350649,50.9350649350649,..
Bahrain,BHR,Forest area (% of land area),AG.LND.FRST.ZS,0.911392405063291,0.936708860759494,..
Bangladesh,BGD,Forest area (% of land area),AG.LND.FRST.ZS,14.4687716063609,14.4687716063609,..
Barbados,BRB,Forest area (% of land area),AG.LND.FRST.ZS,14.6511627906977,14.6511627906977,..
Belarus,BLR,Forest area (% of land area),AG.LND.FRST.ZS,43.2722345405272,43.3351396620523,..
Belgium,BEL,Forest area (% of land area),AG.LND.FRST.ZS,22.604446776415,22.604446776415,..
Belize,BLZ,Forest area (% of land area),AG.LND.FRST.ZS,55.4971503726436,55.0078912757563,..
Benin,BEN,Forest area (% of land area),AG.LND.FRST.ZS,27.3603228095069,26.9169031571479,..
Bermuda,BMU,Forest area (% of land area),AG.LND.FRST.ZS,18.5185185185185,18.5185185185185,..
Bhutan,BTN,Forest area (% of land area),AG.LND.FRST.ZS,71.5013109596224,71.5532249606712,..
Bolivia,BOL,Forest area (% of land area),AG.LND.FRST.ZS,46.7283054555525,46.5396883596418,..
Bosnia and Herzegovina,BIH,Forest area (% of land area),AG.LND.FRST.ZS,42.7326171875,42.7326171875,..
Botswana,BWA,Forest area (% of land area),AG.LND.FRST.ZS,26.7083090713391,26.4995676953752,..
Brazil,BRA,Forest area (% of land area),AG.LND.FRST.ZS,59.2705274977447,59.1275118866159,..
British Virgin Islands,VGB,Forest area (% of land area),AG.LND.FRST.ZS,24.1333333333333,24.1333333333333,..
Brunei Darussalam,BRN,Forest area (% of land area),AG.LND.FRST.ZS,72.1062618595825,72.1062618595825,..
Bulgaria,BGR,Forest area (% of land area),AG.LND.FRST.ZS,35.9801031687546,36.0998526160649,..
Burkina Faso,BFA,Forest area (% of land area),AG.LND.FRST.ZS,22.5380116959064,22.3552631578947,..
Burundi,BDI,Forest area (% of land area),AG.LND.FRST.ZS,10.8894080996885,10.8894080996885,..
Cabo Verde,CPV,Forest area (% of land area),AG.LND.FRST.ZS,11.4193548387097,11.4937965260546,..
Cambodia,KHM,Forest area (% of land area),AG.LND.FRST.ZS,44.825968728756,43.9439723544074,..
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,42.9110448266379,42.7925789596158,..
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,39.4701279256318,39.4659199995449,..
Caribbean small states,CSS,Forest area (% of land area),AG.LND.FRST.ZS,90.2551489827302,90.1721118742943,..
Cayman Islands,CYM,Forest area (% of land area),AG.LND.FRST.ZS,52.75,52.6666666666667,..
Central African Republic,CAF,Forest area (% of land area),AG.LND.FRST.ZS,35.7523516003724,35.7041959613471,..
Central Europe and the Baltics,CEB,Forest area (% of land area),AG.LND.FRST.ZS,34.5892800367668,34.6188570565974,..
Chad,TCD,Forest area (% of land area),AG.LND.FRST.ZS,3.33650992693774,3.24924110546379,..
Channel Islands,CHI,Forest area (% of land area),AG.LND.FRST.ZS,5.15151515151515,..,..
Chile,CHL,Forest area (% of land area),AG.LND.FRST.ZS,24.6574727113292,24.8227737340155,..
China,CHN,Forest area (% of land area),AG.LND.FRST.ZS,23.631528267902,23.8317336318638,..
Colombia,COL,Forest area (% of land area),AG.LND.FRST.ZS,53.1253958539883,52.9457763857593,..
Comoros,COM,Forest area (% of land area),AG.LND.FRST.ZS,17.4529822675981,17.2165502418055,..
"Congo, Dem. Rep.",COD,Forest area (% of land area),AG.LND.FRST.ZS,55.1614932621689,54.6756759224543,..
"Congo, Rep.",COG,Forest area (% of land area),AG.LND.FRST.ZS,64.2196193265007,64.1756954612006,..
Costa Rica,CRI,Forest area (% of land area),AG.LND.FRST.ZS,59.7579318448884,60.0785350567959,..
Cote d'Ivoire,CIV,Forest area (% of land area),AG.LND.FRST.ZS,8.5654927672956,8.21049968553459,..
Croatia,HRV,Forest area (% of land area),AG.LND.FRST.ZS,34.6963902787706,34.7410650464618,..
Cuba,CUB,Forest area (% of land area),AG.LND.FRST.ZS,31.233140655106,31.233140655106,..
Curacao,CUW,Forest area (% of land area),AG.LND.FRST.ZS,0.157657657657658,0.157657657657658,..
Cyprus,CYP,Forest area (% of land area),AG.LND.FRST.ZS,18.6699134199134,18.6677489177489,..
Czechia,CZE,Forest area (% of land area),AG.LND.FRST.ZS,34.7066980208929,34.7369431785448,..
Denmark,DNK,Forest area (% of land area),AG.LND.FRST.ZS,15.7345,15.758,..
Djibouti,DJI,Forest area (% of land area),AG.LND.FRST.ZS,0.253377911993098,0.257308024158758,..
Dominica,DMA,Forest area (% of land area),AG.LND.FRST.ZS,63.8266666666667,63.8266666666667,..
