Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Africa Eastern and Southern,AFE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Africa Western and Central,AFW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,103.52,113.041666666667,100.645
Algeria,DZA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,135.064058333333,141.994975,135.842933333333
American Samoa,ASM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1
Andorra,AND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.845376564367945,0.950915533962108,0.924709622987356
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,631.441955506727,460.567511631462,685.020237761449
Antigua and Barbuda,ATG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7
Arab World,ARB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Argentina,ARG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,94.9907416666667,130.61655,296.258041666667
Armenia,ARM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,503.769674961652,435.6661796523,392.476302158971
Aruba,ABW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79
Australia,AUS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.33122425957081,1.44166445896522,1.50519106560509
Austria,AUT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.84549413889045,0.949623753156941,0.924839558470698
Azerbaijan,AZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.7,1.7,1.7
"Bahamas, The",BHS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1
Bahrain,BHR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.376,0.376,0.376
Bangladesh,BGD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,85.08376325,91.7454544396961,106.309484297483
Barbados,BRB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2
Belarus,BLR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.538675,2.6261,3.00735
Belgium,BEL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.84549413889045,0.949623753156941,0.924839558470698
Belize,BLZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.607798864163,622.912348249567,606.654982255763
Bermuda,BMU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1
Bhutan,BTN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,73.9180128154351,78.6044905829916,82.5992764460784
Bolivia,BOL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.91,6.91,6.91
Bosnia and Herzegovina,BIH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.65360615435868,1.85932587706093,1.80920280030082
Botswana,BWA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,11.0872583333333,12.3688083333333,13.5963833333333
Brazil,BRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,5.39440078962503,5.16397029102111,4.99437976287199
British Virgin Islands,VGB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Brunei Darussalam,BRN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.34380696297339,1.37895639652216,1.34307960114934
Bulgaria,BGR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.653775,1.86014166666667,1.80896666666667
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.530675033104,623.759700911182,606.569750165917
Burundi,BDI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1975.95088138768,2034.30663430472,2574.05174879329
Cabo Verde,CPV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,93.2180924116109,104.863065846367,101.804812544702
Cambodia,KHM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4098.72279505888,4102.03786482335,4110.65274641577
Cameroon,CMR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.530675033104,623.759700911182,606.569750165917
Canada,CAN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.2538769021268,1.30155477474355,1.3499086407939
Caribbean small states,CSS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Cayman Islands,CYM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.83333,0.83333,0.83333
Central African Republic,CAF,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.530675033104,623.759700911182,606.569750165917
Central Europe and the Baltics,CEB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Chad,TCD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.530675033104,623.759700911182,606.569750165917
Channel Islands,CHI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.727064944688323,0.811301715827773,0.804538906734353
Chile,CHL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,758.955378658977,873.314189543014,840.066526651499
China,CHN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.44897518024316,6.73715811237119,7.08399842343631
Colombia,COL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3744.24416666667,4256.19416666667,4325.955
Comoros,COM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,415.955849148122,467.184261187176,454.991236691823
"Congo, Dem. Rep.",COD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1989.39147122828,2006.70821944055,2340.03570436145
"Congo, Rep.",COG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.530675033104,623.759700911182,606.569750165917
Costa Rica,CRI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,620.784720014081,647.135817631363,544.050775505632
Cote d'Ivoire,CIV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.530675033104,623.759700911182,606.569750165917
Croatia,HRV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.36008316666667,7.1597415,0.924839558470698
Cuba,CUB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Curacao,CUW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79
Cyprus,CYP,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.84549413889045,0.949623753156941,0.924839558470698
Czechia,CZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,21.6781666666667,23.357,22.1980833333333
Denmark,DNK,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.2871130825,7.0761518625,6.88970258583334
Djibouti,DJI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,177.721,177.721,177.721
Dominica,DMA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7
Dominican Republic,DOM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,57.2211166666667,55.1409916666667,56.1576
Early-demographic dividend,EAR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
East Asia & Pacific,EAS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
East Asia & Pacific (excluding high income),EAP,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Ecuador,ECU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1
"Egypt, Arab Rep.",EGY,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,15.6445272777113,19.1604397412204,30.6264136980311
El Salvador,SLV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1
Equatorial Guinea,GNQ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.530675033104,623.759700911182,606.569750165917
Eritrea,ERI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,15.075,15.075,15.075
Estonia,EST,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.84549413889045,0.949623753156941,0.924839558470698
Eswatini,SWZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,14.7834351395784,16.3622830559282,18.4535924917449
Ethiopia,ETH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,43.73377831884,51.7562150334169,54.6009480676569
Euro area,EMU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.84549413889045,0.949623753156941,0.924839558470698
Europe & Central Asia,ECS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Europe & Central Asia (excluding high income),ECA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
European Union,EUU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
Faroe Islands,FRO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.2871130825,7.0761518625,6.88970258583334
Fiji,FJI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.07063333333333,2.2014069869585,2.250125
Finland,FIN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.84549413889045,0.949623753156941,0.924839558470698
Fragile and conflict affected situations,FCS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..
France,FRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.84549413889045,0.949623753156941,0.924839558470698
French Polynesia,PYF,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,100.880222566186,113.474367224106,110.34717131744
Gabon,GAB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,554.530675033104,623.759700911182,606.569750165917
"Gambia, The",GMB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,51.4844438783833,54.9234673586679,61.0963330077956
Georgia,GEO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.22155833333333,2.9162,2.62795833333333
Germany,DEU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.84549413889045,0.949623753156941,0.924839558470698
Ghana,GHA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,5.8057,8.2724,11.0204083333333
Gibraltar,GIB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.727064944688322,0.811301715827773,0.804538906734353
