Indicator_ID,Indicator_Name
NY.GDP.MKTP.PP.KD,"GDP, PPP (constant 2021 international $)"
NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)"
SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)"
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)"
NY.GDP.DEFL.KD.ZG.AD,"Inflation, GDP deflator: linked series (annual %)"
NY.GDP.DEFL.KD.ZG,"Inflation, GDP deflator (annual %)"
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)"
NE.RSB.GNFS.KN,External balance on goods and services (constant LCU)
NE.RSB.GNFS.CD,External balance on goods and services (current US$)
TG.VAL.TOTL.GD.ZS,Merchandise trade (% of GDP)
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP)
NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP)
NE.RSB.GNFS.CN,External balance on goods and services (current LCU)
NE.TRD.GNFS.ZS,Trade (% of GDP)
BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP)
BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)"
SH.XPD.GHED.CH.ZS,Domestic general government health expenditure (% of current health expenditure)
SH.XPD.GHED.GE.ZS,Domestic general government health expenditure (% of general government expenditure)
SH.XPD.GHED.GD.ZS,Domestic general government health expenditure (% of GDP)
SE.XPD.PRIM.ZS,Expenditure on primary education (% of government expenditure on education)
SE.XPD.SECO.ZS,Expenditure on secondary education (% of government expenditure on education)
NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth)
SE.XPD.TERT.PC.ZS,"Government expenditure per student, tertiary (% of GDP per capita)"
SE.XPD.PRIM.PC.ZS,"Government expenditure per student, primary (% of GDP per capita)"
SE.XPD.SECO.PC.ZS,"Government expenditure per student, secondary (% of GDP per capita)"
SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)"
GE.STD.ERR,Government Effectiveness: Standard Error
NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP)
NE.CON.GOVT.KD,General government final consumption expenditure (constant 2015 US$)
NE.CON.GOVT.CN,General government final consumption expenditure (current LCU)
GE.EST,Government Effectiveness: Estimate
SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)"
SP.DYN.LE00.IN,"Life expectancy at birth, total (years)"
SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)"
